STATION	LONGITUDE	LATITUDE	NOISE(NM/S)
GR.ASSE	10.674	52.128	13.554
NL.J01	5.055	52.765	507908.929
NL.G383	6.548	53.201	2515.461
NL.FR042	6.119	52.876	2283.630
GR.BSEG	10.316	53.936	17.302
IV.MDI	9.716	45.770	92.439
NL.NIW3	6.043	53.355	5880.050
NL.G073	6.546	53.395	2037.507
FR.COLF	3.694	45.500	29.228
XE.ZIDIL	16.260	39.782	618.128
NL.G284	6.729	53.272	2089.210
IX.SRN3	15.458	40.486	1448.595
NL.G432	7.079	53.232	2579.527
NL.G591	6.988	53.116	2509.497
CH.GRIMS	8.319	46.578	9.597
KO.ENEZ	26.153	40.736	505.239
CL.ROD3	21.892	38.308	999.395
IV.PLMA	9.854	44.050	14.411
Y8.PL16A	21.355	50.592	195.486
HA.LOUT	22.974	37.988	17594.468
GR.AHRW	7.076	50.541	11.551
NL.G184	6.722	53.331	2411.052
HE.RUF	28.950	61.425	20.365
NL.DBN	5.177	52.102	304.555
IV.MILZ	15.231	38.271	324.611
HL.PRK	26.265	39.246	36.135
XP.FR30A	1.667	44.056	262.496
CH.FIESA	8.111	46.435	11.441
GE.GVD	24.087	34.839	217362.800
SI.BOSI	11.319	46.495	229.763
NL.G373	7.035	53.274	2236.764
KO.GULT	30.515	40.432	485.860
IV.NOCI	17.064	40.789	18.156
IV.TREM	15.510	42.123	49.232
Y8.PL26A	19.174	50.190	994.037
FR.PLDF	3.623	45.965	18.660
1Y.MK01A	21.851	42.279	275.654
NL.GK014	6.247	53.291	2422.446
NL.ZH043	4.363	51.842	2307.450
NL.G691	6.644	53.213	2576.113
HL.ELAT	22.791	38.628	1079.666
UP.DEL	13.870	56.470	36.451
KO.GADA	25.899	40.191	467.235
NL.G561	6.931	53.148	2439.649
FR.GRN	5.744	45.241	16.800
SX.FROHN	12.989	50.596	19.626
CH.CHASS	7.121	47.161	35.230
FR.RONF	6.645	47.710	15.474
OE.CSNA	15.859	47.928	13.910
1Y.GR07	22.021	40.784	167.917
KO.LOD	32.763	39.888	167.448
GE.STU	9.195	48.772	46.967
ST.DOSS	11.188	45.881	15.973
Y8.PL19A	20.944	50.283	96.844
GR.BUG	7.271	51.441	13.410
IV.EPMN	15.177	37.820	81.153
NL.VNDM2	6.839	53.115	2124.830
NL.G083	6.644	53.395	2517.847
FR.SALSA	6.689	43.881	184.817
IV.CRMI	10.980	43.796	23.663
KO.MRMT	27.583	40.609	120.726
GR.HLGA2	7.886	54.187	334.810
IV.CAFE	15.237	41.028	30.433
NL.G274	6.628	53.283	2967.434
OT.TAR1	17.285	40.526	89.223
FR.VERF	2.484	45.750	11.280
NL.L2067	6.823	52.810	5768.769
NS.ROEST	12.104	67.520	30.095
TH.LEIB1	11.198	50.576	159.133
HU.BSZH	20.267	47.300	1305.117
OE.DAVA	9.880	47.287	11.128
BQ.NAST	7.861	50.195	153.410
BW.ALFT	11.280	48.142	29.420
RO.CFR	28.136	45.178	14.778
SX.WIMM	11.505	51.521	20.445
FR.GUEF	-2.634	47.887	13.168
CH.MTI02	7.165	47.379	15.172
IV.MGR	15.554	40.138	86.608
NL.G064	6.871	53.411	2642.919
HL.PLG	23.444	40.373	167.433
GB.CWF	-1.308	52.739	135.141
